Jaksotus 2026-2027;Kurre 7.37.2.1
Helsingin normaalilyseo;12.03.2026 20:27
;Viikkotunnit

-;Periodi 1;Periodi 2;Periodi 3;Periodi 4;Periodi 5;Yht.;Ryhmä/palkki;;Koko;
;;5;;;;5;1:;BI01.1;4;
;;;5;;;5;3:;BI01.2;0;
;;;;5;;5;1:;BI01.3;2;
;5;;;;;5;1:;BI010.1;17;
;;;5;;;5;8:;BI010.2;8;
;;5;;;;5;2:;BI02.1;45;
;;;5;;;5;5:;BI02.2;6;
;;;5;;;5;2:;BI02.3;10;
;;5;;;;5;2:;BI03.1;0;
;;;5;;;5;5:;BI03.2;0;
;;;5;;;5;2:;BI03.3;0;
;;;;5;;5;3:;BI04.1;4;
;;;5;;;5;1:;BI04.2;24;
;;5;;;;5;7:;BI05.1;14;
;;;;5;;5;7:;BI05.2;19;
;;;;;5;5;7:;BI06.1;20;
;5;;;;;5;4:;BI06.2;9;
;;;;;5;5;8:;BI08.1;13;
;5;;;;;5;4:;ENA01.1;0;
;5;;;;;5;2:;ENA01.2;0;
;5;;;;;5;1:;ENA01.3;0;
;5;5;;;;10;4:;ENA02.1;0;
;5;;;;;5;2:;ENA02.2;0;
;;5;;;;5;7:;ENA02.2;0;
;;5;;;;5;6:;ENA02.3;0;
;5;;;;;5;1:;ENA02.3;0;
;;;;5;;5;4:;ENA03.1;0;
;;;;;5;5;4:;ENA03.2;0;
;;;;;5;5;5:;ENA03.3;1;
;;5;;;;5;3:;ENA04.1;33;
;;5;;;;5;4:;ENA04.2;34;
;;;5;;;5;3:;ENA04.3;8;
;;;5;;;5;6:;ENA05.1;16;
;;;5;;;5;5:;ENA05.2;40;
;;;;5;;5;3:;ENA05.3;14;
;;;;5;;5;6:;ENA06.1;21;
;;;;;5;5;3:;ENA06.2;22;
;;;;;5;5;4:;ENA06.3;23;
;5;;;;;5;1:;ENA07.1;29;
;;;;;5;5;2:;ENA07.2;11;
